id,color,width,height,row,column
Propulsion 1,lightgreen,12,10,0,0
Propulsion 2,lightgreen,12,10,10,0
Fuel 1,aliceblue,8,10,0,12
Fuel 2,aliceblue,8,10,10,12
Tank  1,chocolate,8,10,0,20
Tank  2,chocolate,8,10,10,20
Tank  3,chocolate,8,10,0,28
Tank  4,chocolate,8,10,10,28
Tank  5,chocolate,8,10,0,36
Tank  6,chocolate,8,10,10,36
Tank  7,chocolate,8,10,0,44
Tank  8,chocolate,8,10,10,44
Tank  9,chocolate,8,10,0,52
Tank  10,chocolate,8,10,10,52
Hull,ivory,2,20,0,60
Bow 1,lightcoral,8,18,1,62
Bow 2,lightcoral,6,10,5,70
Bow 3,lightcoral,4,4,8,76
Valves,yellow,60,2,9,8
